system,rawRole,font,sizePx,weight,weightRange,lineHeight,lineHeightRange,letterSpacingPx,letterSpacingRange,uppercase,features,notes,rowIndex
airtable,label-md,,16,500,,1.4,,0,,,,"Demo-card titles, list labels",6
airtable,button,,16,500,,1.4,,0,,,,Standard CTA button labels,7
airtable,body-md,,14,400,,1.25,,0,,,,"Body copy, footer links, top-nav items",8
airtable,caption,,14,500,,1.35,,0.16,,,,Light captions and meta text,9
airtable,legal,,13.12,600,,1.2,,0,,,,Cookie/legal CTA buttons,10
airtable,pricing-display,,44.8,475,,1.1,,0,,,,Pricing-page h1,11
airtable,pricing-section,,28,475,,1.2,,0,,,,Pricing-page section heads,12
airtable,pricing-card-title,,20,475,,1.3,,0,,,,Pricing tier card plan name,13
apple,hero-display,,56,600,,1.07,,-0.28,,,,"Hero headline; the signature ""Apple tight"" tracking",0
apple,display-lg,,40,600,,1.1,,0,,,,Tile headlines atop every product tile,1
apple,display-md,,34,600,,1.47,,-0.374,,,,Section heads (SF Pro Text at display proportions),2
apple,lead,,28,400,,1.14,,0.196,,,,Product tile subcopy,3
apple,lead-airy,,24,300,,1.5,,0,,,,Environment-page lead paragraphs (the rare weight 300),4
apple,tagline,,21,600,,1.19,,0.231,,,,Sub-tile tagline; sub-nav category name,5
apple,body-strong,,17,600,,1.24,,-0.374,,,,Inline strong emphasis,6
apple,body,,17,400,,1.47,,-0.374,,,,Default paragraph,7
apple,dense-link,,17,400,,2.41,,0,,,,Footer / store utility link lists (relaxed leading),8
apple,caption,,14,400,,1.43,,-0.224,,,,"Secondary captions, button text",9
apple,caption-strong,,14,600,,1.29,,-0.224,,,,Emphasized captions,10
apple,button-large,,18,300,,1,,0,,,,Store hero CTAs (the rare weight 300),11
apple,button-utility,,14,400,,1.29,,-0.224,,,,Utility/nav button labels,12
apple,fine-print,,12,400,,1,,-0.12,,,,"Fine-print, footer body",13
apple,micro-legal,,10,400,,1.3,,-0.08,,,,Micro legal disclaimers,14
apple,nav-link,,12,400,,1,,-0.12,,,,Global nav menu items,15
bmw,display-xl,,64,700,,1.05,,0,,,,"Hero h1 (""iX3"", model name)",0
bmw,display-lg,,48,700,,1.1,,0,,,,Section heads,1
bmw,display-md,,32,700,,1.15,,0,,,,Sub-section heads,2
bmw,display-sm,,24,700,,1.25,,0,,,,CTA-band headlines,3
bmw,title-lg,,20,700,,1.3,,0,,,,Card group titles,4
bmw,title-md,,18,700,,1.4,,0,,,,"Model card title, intro paragraphs",5
bmw,title-sm,,16,700,,1.4,,0,,,,"Inventory card title, list label",6
bmw,body-md,,16,300,,1.55,,0,,,,Default body — BMW Type Next Latin Light,7
bmw,body-sm,,14,300,,1.55,,0,,,,"Footer body, fine-print",8
bmw,caption,,12,400,,1.4,,0.5,,,,"Photo captions, meta",9
bmw,label-uppercase,,13,700,,1.3,,1.5,,,,"""LEARN MORE"" inline links, category tabs",10
bmw,button,,14,700,,1,,0.5,,,,Standard CTA button label,11
bmw,nav-link,,14,400,,1.4,,0.3,,,,Top-nav menu items,12
cal,display-xl,,64,600,,1.05,,-2,,,,"Homepage h1 (""The better way to schedule your meetings"") — Cal Sans",0
cal,display-lg,,48,600,,1.1,,-1.5,,,,"Section heads (""Your all-purpose scheduling app"") — Cal Sans",1
cal,display-md,,36,600,,1.15,,-1,,,,"Sub-section heads, card titles — Cal Sans",2
cal,display-sm,,28,600,,1.2,,-0.5,,,,"CTA-band heads, pricing tier prices — Cal Sans",3
cal,title-lg,,22,600,,1.3,,-0.3,,,,Pricing plan names — Inter,4
cal,title-md,,18,600,,1.4,,0,,,,"Feature card titles, intro paragraphs",5
cal,title-sm,,16,600,,1.4,,0,,,,"Small card titles, list labels",6
cal,body-md,,16,400,,1.5,,0,,,,Default running-text,7
cal,body-sm,,14,400,,1.5,,0,,,,"Footer body, fine-print",8
cal,caption,,13,500,,1.4,,0,,,,"Badge labels, captions",9
cal,code,,14,400,,1.5,,0,,,,"Code snippets, API examples — JetBrains Mono",10
cal,button,,14,600,,1,,0,,,,Standard button labels,11
cal,nav-link,,14,500,,1.4,,0,,,,Top-nav menu items,12
claude,display-xl,,64,400,,1.05,,-1.5,,,,"Homepage h1 (""Meet your thinking partner"") — Copernicus serif",0
claude,display-lg,,48,400,,1.1,,-1,,,,Section heads — Copernicus,1
claude,display-md,,36,400,,1.15,,-0.5,,,,"Sub-section heads, model names — Copernicus",2
claude,display-sm,,28,400,,1.2,,-0.3,,,,"Pricing tier names, callout headlines — Copernicus",3
claude,title-lg,,22,500,,1.3,,0,,,,Pricing plan size labels — StyreneB,4
claude,title-md,,18,500,,1.4,,0,,,,"Feature card titles, intro paragraphs",5
claude,title-sm,,16,500,,1.4,,0,,,,"Connector tile titles, list labels",6
claude,body-md,,16,400,,1.55,,0,,,,Default running-text — StyreneB,7
claude,body-sm,,14,400,,1.55,,0,,,,"Footer body, fine-print",8
claude,caption,,13,500,,1.4,,0,,,,"Badge labels, captions",9
claude,caption-uppercase,,12,500,,1.4,,1.5,,,,"Category tags, ""NEW"" badges",10
claude,code,,14,400,,1.6,,0,,,,Code blocks — JetBrains Mono,11
claude,button,,14,500,,1,,0,,,,Standard button labels,12
claude,nav-link,,14,500,,1.4,,0,,,,Top-nav menu items,13
clay,display-xl,,72,500,,1,,-2.5,,,,"Homepage h1 (""Go to market with unique data"") — Plain Black",0
clay,display-lg,,56,500,,1.05,,-2,,,,Section heads — Plain Black,1
clay,display-md,,40,500,,1.1,,-1,,,,"Sub-section heads, product names",2
clay,display-sm,,32,500,,1.15,,-0.5,,,,"CTA-band heads, feature card titles",3
clay,title-lg,,24,600,,1.3,,-0.3,,,,"Pricing plan names, larger feature titles",4
clay,title-md,,18,600,,1.4,,0,,,,"Card titles, intro paragraphs",5
clay,title-sm,,16,600,,1.4,,0,,,,"Small card titles, list labels",6
clay,body-md,,16,400,,1.55,,0,,,,Default running-text,7
clay,body-sm,,14,400,,1.55,,0,,,,"Footer body, fine-print",8
clay,caption,,13,500,,1.4,,0,,,,"Badge labels, captions",9
clay,caption-uppercase,,12,600,,1.4,,1.5,,,,"Section labels, ""FEATURED"" badges",10
clay,button,,14,600,,1,,0,,,,Standard button labels,11
clay,nav-link,,14,500,,1.4,,0,,,,Top-nav menu items,12
clickhouse,display-xl,,72,700,,1.05,,-2.5,,,,"Homepage h1 (""The leading database for AI"")",0
clickhouse,display-lg,,56,700,,1.1,,-2,,,,Section heads,1
clickhouse,display-md,,40,700,,1.15,,-1.5,,,,"Sub-section heads, CTA-band heads",2
clickhouse,display-sm,,32,700,,1.2,,-1,,,,"Card titles, pricing tier prices",3
clickhouse,title-lg,,24,700,,1.3,,-0.3,,,,"Pricing plan names, larger feature titles",4
clickhouse,title-md,,18,600,,1.4,,0,,,,"Card titles, intro paragraphs",5
clickhouse,title-sm,,16,600,,1.4,,0,,,,"Small card titles, list labels",6
clickhouse,stat-display,,56,700,,1,,-1.5,,,,"Stat callouts (""779+"", ""47k+"") — ALWAYS yellow",7
clickhouse,body-md,,16,400,,1.55,,0,,,,Default running-text,8
clickhouse,body-sm,,14,400,,1.55,,0,,,,"Footer body, fine-print",9
clickhouse,caption,,13,500,,1.4,,0,,,,"Badge labels, captions",10
clickhouse,caption-uppercase,,12,600,,1.4,,1.5,,,,"Section labels, ""NEW"" badges",11
clickhouse,code,,14,400,,1.55,,0,,,,Code blocks — JetBrains Mono,12
clickhouse,button,,14,600,,1,,0,,,,Standard button labels,13
clickhouse,nav-link,,14,500,,1.4,,0,,,,Top-nav menu items,14
cohere,Hero Display,CohereText,96,400,,1,,-1.92,,,,Home page declaration scale.,0
cohere,Product Display,CohereText,72,400,,1,,-1.44,,,,Product and research hero headlines.,1
cohere,Section Display,Unica77,60,400,,1,,-1.2,,,,Large product-page headings.,2
cohere,Section Heading,Unica77,48,400,,1.2,,-0.48,,,,Split hero and CTA headings.,3
cohere,Card Heading,Unica77,32,400,,1.2,,-0.32,,,,Feature card and list section titles.,4
cohere,Feature Heading,Unica77,24,400,,1.3,,0,,,,"Cards, filters, and article titles.",5
cohere,Body Large,Unica77,18,400,,1.4,,0,,,,Lead text and larger paragraphs.,6
cohere,Body,Unica77,16,400,,1.5,,0,,,,Default copy and link text.,7
cohere,Button,Unica77,14,500,,1.71,,0,,,,Compact CTA labels.,8
cohere,Caption,Unica77,14,400,,1.4,,0,,,,Metadata and small explanatory text.,9
cohere,Mono Label,CohereMono,14,400,,1.4,,0.28,,,,Uppercase technical labels.,10
cohere,Micro,Unica77,12,400,,1.4,,0,,,,"Footer, nav microcopy, and small links.",11
coinbase,display-mega,,80,400,,1,,-2,,,,Homepage hero h1,0
coinbase,display-xl,,64,400,,1,,-1.6,,,,Subsidiary heroes,1
coinbase,display-lg,,52,400,,1,,-1.3,,,,Section heads,2
coinbase,display-md,,44,400,,1.09,,-1,,,,CTA-band headlines,3
coinbase,display-sm,,36,400,,1.11,,-0.5,,,,Sub-section heads — CoinbaseSans,4
coinbase,title-lg,,32,400,,1.13,,-0.4,,,,Card group titles,5
coinbase,title-md,,18,600,,1.33,,0,,,,"Component titles, asset row primary",6
coinbase,title-sm,,16,600,,1.25,,0,,,,List labels,7
coinbase,body-md,,16,400,,1.5,,0,,,,Default body,8
coinbase,body-strong,,16,700,,1.5,,0,,,,Emphasized body,9
coinbase,body-sm,,14,400,,1.5,,0,,,,Footer body,10
coinbase,caption,,13,400,,1.5,,0,,,,Photo captions,11
coinbase,caption-strong,,12,600,,1.5,,0,,,,Badge pill labels,12
coinbase,number-display,,18,500,,1.4,,0,,,,"Asset prices, percent changes — CoinbaseMono",13
coinbase,button,,16,600,,1.15,,0,,,,Standard CTA pill,14
coinbase,nav-link,,14,500,,1.4,,0,,,,Top-nav menu items,15
composio,display-mega,,72,500,,1.05,,-2.16,,,,Homepage hero h1,0
composio,display-xl,,56,500,,1.05,,-1.68,,,,Subsidiary heroes,1
composio,display-lg,,44,500,,1.1,,-1.32,,,,Section heads,2
composio,display-md,,32,500,,1.15,,-0.96,,,,Sub-section heads,3
composio,display-sm,,24,500,,1.25,,-0.5,,,,Card group titles,4
composio,title-md,,18,600,,1.4,,0,,,,Component titles,5
composio,title-sm,,16,600,,1.4,,0,,,,Toolkit card titles,6
composio,body-md,,16,400,,1.5,,0,,,,Default body,7
composio,body-sm,,14,400,,1.5,,0,,,,Footer body,8
composio,caption,,13,400,,1.4,,0,,,,Photo captions,9
composio,caption-uppercase,,11,600,,1.4,,0.88,,,,"Section labels, badge pills",10
composio,code,,13,400,,1.5,,0,,,,Code blocks — JetBrains Mono,11
composio,button,,14,500,,1,,0,,,,CTA pill labels,12
composio,nav-link,,14,500,,1.4,,0,,,,Top-nav menu,13
cursor,display-mega,,72,400,,1.1,,-2.16,,,,Homepage hero h1,0
cursor,display-lg,,36,400,,1.2,,-0.72,,,,Section heads,1
cursor,display-md,,26,400,,1.25,,-0.325,,,,Sub-section heads,2
cursor,display-sm,,22,400,,1.3,,-0.11,,,,Card group titles,3
cursor,title-md,,18,600,,1.4,,0,,,,Component titles,4
cursor,title-sm,,16,600,,1.4,,0,,,,List labels,5
cursor,body-md,,16,400,,1.5,,0,,,,Default body,6
cursor,body-tracked,,16,400,,1.5,,0.08,,,,Tracked editorial body,7
cursor,body-sm,,14,400,,1.5,,0,,,,Footer body,8
cursor,caption,,13,400,,1.4,,0,,,,Photo captions,9
cursor,caption-uppercase,,11,600,,1.4,,0.88,,,,"Section labels, timeline pill labels",10
cursor,code,,13,400,,1.5,,0,,,,Code blocks — JetBrains Mono,11
cursor,button,,14,500,,1,,0,,,,CTA pill labels,12
cursor,nav-link,,14,500,,1.4,,0,,,,Top-nav menu,13
elevenlabs,display-mega,,64,300,,1.05,,-1.92,,,,Homepage hero h1,0
elevenlabs,display-xl,,48,300,,1.08,,-0.96,,,,Subsidiary heroes,1
elevenlabs,display-lg,,36,300,,1.17,,-0.36,,,,Section heads,2
elevenlabs,display-md,,32,300,,1.13,,-0.32,,,,Sub-section heads,3
elevenlabs,display-sm,,24,300,,1.2,,0,,,,Card group titles,4
elevenlabs,title-md,,20,500,,1.35,,0,,,,Component titles — Inter,5
elevenlabs,title-sm,,18,500,,1.44,,0.18,,,,List labels,6
elevenlabs,body-md,,16,400,,1.5,,0.16,,,,Default body — Inter,7
elevenlabs,body-strong,,16,500,,1.5,,0.16,,,,Emphasized body,8
elevenlabs,body-sm,,15,400,,1.47,,0.15,,,,Footer body,9
elevenlabs,caption,,14,400,,1.5,,0,,,,Photo captions,10
elevenlabs,caption-uppercase,,12,600,,1.4,,0.96,,,,"Section labels, badges",11
elevenlabs,button,,15,500,,1,,0,,,,CTA pill,12
elevenlabs,nav-link,,15,500,,1.4,,0,,,,Top-nav menu,13
expo,display-mega,,64,600,,1.05,,-1.92,,,,Homepage hero h1,0
expo,display-xl,,48,600,,1.1,,-1.44,,,,Subsidiary heroes,1
expo,display-lg,,36,600,,1.15,,-1.08,,,,Section heads,2
expo,display-md,,28,600,,1.2,,-0.84,,,,Sub-section heads,3
expo,display-sm,,22,600,,1.25,,-0.5,,,,Card group titles,4
expo,title-md,,18,600,,1.4,,0,,,,Component titles,5
expo,title-sm,,16,600,,1.4,,0,,,,List labels,6
expo,body-md,,16,400,,1.5,,0,,,,Default body,7
expo,body-sm,,14,400,,1.5,,0,,,,Footer body,8
expo,caption,,13,400,,1.4,,0,,,,Photo captions,9
expo,caption-uppercase,,11,600,,1.4,,0.88,,,,"Section labels, badges",10
expo,code,,13,400,,1.5,,0,,,,Code blocks — JetBrains Mono,11
expo,button,,14,500,,1,,0,,,,CTA labels,12
expo,nav-link,,14,500,,1.4,,0,,,,Top-nav menu,13
ferrari,display-mega,,80,500,,1.05,,-1.6,,,,Homepage hero h1,0
ferrari,display-xl,,56,500,,1.1,,-1.12,,,,Subsidiary heroes,1
ferrari,display-lg,,36,500,,1.2,,-0.36,,,,"Section heads, livery band",2
ferrari,display-md,,26,500,,1.5,,0.195,,,,Sub-section heads,3
ferrari,title-md,,18,700,,1.2,,0,,,,Component titles,4
ferrari,title-sm,,16,500,,1.4,,0.08,,,,List labels,5
ferrari,body-md,,14,400,,1.5,,0,,,,Default body,6
ferrari,body-sm,,13,400,,1.5,,0,,,,Footer body,7
ferrari,caption,,12,400,,1.4,,0,,,,Photo captions,8
ferrari,caption-uppercase,,11,600,,1.4,,1.1,,,,"Section labels, badges",9
ferrari,button,,14,700,,1,,1.4,,true,,CTA pill labels,10
ferrari,nav-link,,13,600,,1.4,,0.65,,true,,Top-nav menu items,11
ferrari,number-display,,80,700,,1,,-1.6,,,,"Race position highlights, spec values",12
figma,Display / Hero,figmaSans,86,400,,1,,-1.72,,,,"Maximum impact, extreme tracking",0
figma,Section Heading,figmaSans,64,400,,1.1,,-0.96,,,,Feature section titles,1
figma,Sub-heading,figmaSans,26,540,,1.35,,-0.26,,,,Emphasized section text,2
figma,Sub-heading Light,figmaSans,26,340,,1.35,,-0.26,,,,Light-weight section text,3
figma,Feature Title,figmaSans,24,700,,1.45,,0,,,,Bold card headings,4
figma,Body Large,figmaSans,20,,330-450,,1.3-1.4,,-0.14--0.1,,,"Descriptions, intros",5
figma,Body / Button,figmaSans,16,,330-400,,1.4-1.45,-0.14,,,,"Standard body, nav, buttons",6
figma,Body Light,figmaSans,18,320,,1.45,,-0.26,,,,Light-weight body text,7
figma,Mono Label,figmaMono,18,400,,1.3,,0.54,,,,Uppercase section labels,8
figma,Mono Small,figmaMono,12,400,,1,,0.6,,,,Uppercase tiny tags,9
framer,Display Hero,GT Walsheim Framer Medium,110,500,,0.85,,-5.5,,,,"Extreme negative tracking, compressed impact",0
framer,Section Display,GT Walsheim Medium,85,500,,0.95,,-4.25,,,,"OpenType: ss02, tnum",1
framer,Section Heading,GT Walsheim Medium,62,500,,1,,-3.1,,,,OpenType: ss02,2
framer,Feature Heading,GT Walsheim Medium,32,500,,1.13,,-1,,,,Tightest of the smaller headings,3
framer,Accent Display,Mona Sans,61.5,100,,1,,-3.1,,,,"Ultra-light weight, ethereal",4
framer,Card Title,Inter Variable,24,400,,1.3,,-0.01,,,,"OpenType: cv01, cv05, cv09, cv11, ss03, ss07",5
framer,Feature Title,Inter,22,700,,1.2,,-0.8,,,,OpenType: cv05,6
framer,Sub-heading,Inter,20,600,,1.2,,-0.8,,,,"OpenType: cv01, cv09",7
framer,Body Large,Inter Variable,18,400,,1.3,,-0.01,,,,"OpenType: cv01, cv05, cv09, cv11, ss03, ss07",8
framer,Body,Inter Variable,15,400,,1.3,,-0.01,,,,OpenType: cv11,9
framer,Nav/UI,Inter Variable,15,400,,1,,-0.15,,,,"OpenType: cv06, cv11, dlig, ss03",10
framer,Body Readable,Inter Framer Regular,14,400,,1.6,,0,,,,Long-form body text,11
framer,Caption,Inter Variable,14,400,,1.4,,0,,,,"OpenType: cv01, cv06, cv09, cv11, ss03, ss07",12
framer,Label,Inter,13,500,,1.6,,0,,,,"OpenType: cv06, cv11, ss03",13
framer,Small Caption,Inter Variable,12,400,,1.4,,0,,,,"OpenType: cv01, cv06, cv09, cv11, ss03, ss07",14
framer,Micro Code,Azeret Mono,10.4,400,,1.6,,0,,,,"OpenType: cv06, cv11, ss03",15
framer,Badge,Open Runde,9,600,,1.11,,0,,,,"OpenType: cv01, cv09",16
framer,Micro Uppercase,Inter Variable,7,400,,1,,0.21,,,,uppercase transform,17
hashicorp,Display Hero,HashiCorp Sans,82,600,,1.17,,0,,,,"`""kern""` enabled",0
hashicorp,Section Heading,HashiCorp Sans,52,600,,1.19,,0,,,,"`""kern""` enabled",1
hashicorp,Feature Heading,HashiCorp Sans,42,700,,1.19,,-0.42,,,,Negative tracking,2
hashicorp,Sub-heading,HashiCorp Sans,34,,600-700,1.18,,0,,,,Feature blocks,3
hashicorp,Card Title,HashiCorp Sans,26,700,,1.19,,0,,,,Card and panel headings,4
hashicorp,Small Title,HashiCorp Sans,19,700,,1.21,,0,,,,Compact headings,5
hashicorp,Body Emphasis,HashiCorp Sans,17,,600-700,,1.18-1.35,0,,,,Bold body text,6
hashicorp,Body Large,system-ui,20,,400-600,1.5,,0,,,,Hero descriptions,7
hashicorp,Body,system-ui,16,,400-500,,1.63-1.69,0,,,,Standard body text,8
hashicorp,Nav Link,system-ui,15,500,,1.6,,0,,,,Navigation items,9
hashicorp,Small Body,system-ui,14,,400-500,,1.29-1.71,0,,,,Secondary content,10
hashicorp,Caption,system-ui,13,,400-500,,1.23-1.69,0,,,,"Metadata, footer links",11
hashicorp,Uppercase Label,HashiCorp Sans,13,600,,1.69,,1.3,,,,`text-transform: uppercase`,12
ibm,Display 01,IBM Plex Sans,60,300,,1.17,,0,,,,"Maximum impact, light weight for elegance",0
ibm,Display 02,IBM Plex Sans,48,300,,1.17,,0,,,,"Secondary hero, responsive fallback",1
ibm,Heading 01,IBM Plex Sans,42,300,,1.19,,0,,,,Expressive heading,2
ibm,Heading 02,IBM Plex Sans,32,400,,1.25,,0,,,,Section headings,3
ibm,Heading 03,IBM Plex Sans,24,400,,1.33,,0,,,,Sub-section titles,4
ibm,Heading 04,IBM Plex Sans,20,600,,1.4,,0,,,,"Card titles, feature headers",5
ibm,Heading 05,IBM Plex Sans,20,400,,1.4,,0,,,,Lighter card headings,6
ibm,Body Long 01,IBM Plex Sans,16,400,,1.5,,0,,,,Standard reading text,7
ibm,Body Long 02,IBM Plex Sans,16,600,,1.5,,0,,,,"Emphasized body, labels",8
ibm,Body Short 01,IBM Plex Sans,14,400,,1.29,,0.16,,,,"Compact body, captions",9
ibm,Body Short 02,IBM Plex Sans,14,600,,1.29,,0.16,,,,"Bold captions, nav items",10
ibm,Caption 01,IBM Plex Sans,12,400,,1.33,,0.32,,,,"Metadata, timestamps",11
ibm,Code 01,IBM Plex Mono,14,400,,1.43,,0.16,,,,"Inline code, terminal",12
ibm,Code 02,IBM Plex Mono,16,400,,1.5,,0,,,,Code blocks,13
ibm,Mono Display,IBM Plex Mono,42,400,,1.19,,0,,,,Hero mono decorative,14
intercom,Display Hero,Saans,80,400,,1,,-2.4,,,,,0
intercom,Section Heading,Saans,54,400,,1,,-1.6,,,,,1
intercom,Sub-heading,Saans,40,400,,1,,-1.2,,,,,2
intercom,Card Title,Saans,32,400,,1,,-0.96,,,,,3
intercom,Feature Title,Saans,24,400,,1,,-0.48,,,,,4
intercom,Body Emphasis,Saans,20,400,,0.95,,-0.2,,,,,5
intercom,Nav / UI,Saans,18,400,,1,,0,,,,,6
intercom,Body,Saans,16,400,,1.5,,0,,,,,7
intercom,Body Light,Saans,14,300,,1.4,,0,,,,,8
intercom,Button,Saans,16,400,,1.5,,0,,,,,9
intercom,Button Bold,LLMedium,16,700,,1.2,,0.16,,,,,10
intercom,Serif Body,Serrif,16,300,,1.4,,-0.16,,,,,11
intercom,Mono Label,SaansMono,12,,400-500,,1-1.3,0.6,,,,,12
kraken,Display Hero,Kraken-Brand,48,700,,1.17,,-1,,,,,0
kraken,Section Heading,Kraken-Brand,36,700,,1.22,,-0.5,,,,,1
kraken,Sub-heading,Kraken-Brand,28,700,,1.29,,-0.5,,,,,2
kraken,Feature Title,Kraken-Product,22,600,,1.2,,0,,,,,3
kraken,Body,Kraken-Product,16,400,,1.38,,0,,,,,4
kraken,Body Medium,Kraken-Product,16,500,,1.38,,0,,,,,5
kraken,Button,Kraken-Product,16,,500-600,1.38,,0,,,,,6
kraken,Caption,Kraken-Product,14,,400-700,,1.43-1.71,0,,,,,7
kraken,Small,Kraken-Product,12,,400-500,1.33,,0,,,,,8
kraken,Micro,Kraken-Product,7,500,,1,,,,,,,9
lamborghini,Hero Display,,120,400,,0.92,,0,,,,"LamboType, uppercase, maximum impact",0
lamborghini,Display 2,,80,400,,1.13,,0,,,,"LamboType, uppercase, major section titles",1
lamborghini,Section Title,,54,400,,1.19,,0,,,,"LamboType, uppercase",2
lamborghini,Sub-section,,40,400,,1.15,,0,,,,"LamboType, uppercase",3
lamborghini,Feature Heading,,27,400,,1.37,,0,,,,"LamboType, uppercase",4
lamborghini,Card Title,,24,400,,,,0,,,,LamboType,5
lamborghini,Body Large,,18,400,,1.56,,0,,,,"LamboType, mixed case and uppercase variants",6
lamborghini,Body / UI,,16,400,,1.5,,0,,,,"LamboType, primary body text",7
lamborghini,Button Large,,16,400,,1.5,,0,,,,Gold CTA buttons,8
lamborghini,Button Standard,,14.4,300,,1,,0.2,,,,"LamboType, uppercase, ghost buttons",9
lamborghini,Button Small,,13,300,,1.2,,0.2,,,,"LamboType, compact button variant",10
lamborghini,Caption,,14,600,,,1.14-1.5,-0.42,,,,"LamboType, uppercase, negative tracking",11
lamborghini,Label,,12,400,,1.83,,0.96,,,,"LamboType, uppercase badges and micro labels",12
lamborghini,Micro,,10,400,,,1-2,0.225,,,,"LamboType, uppercase, smallest text",13
linear.app,Display XL,Inter Variable,72,510,,1,,-1.584,,,,"Hero headlines, maximum impact",0
linear.app,Display Large,Inter Variable,64,510,,1,,-1.408,,,,Secondary hero text,1
linear.app,Display,Inter Variable,48,510,,1,,-1.056,,,,Section headlines,2
linear.app,Heading 1,Inter Variable,32,400,,1.13,,-0.704,,,,Major section titles,3
linear.app,Heading 2,Inter Variable,24,400,,1.33,,-0.288,,,,Sub-section headings,4
linear.app,Heading 3,Inter Variable,20,590,,1.33,,-0.24,,,,"Feature titles, card headers",5
linear.app,Body Large,Inter Variable,18,400,,1.6,,-0.165,,,,"Introduction text, feature descriptions",6
linear.app,Body Emphasis,Inter Variable,17,590,,1.6,,0,,,,"Emphasized body, sub-headings in content",7
linear.app,Body,Inter Variable,16,400,,1.5,,0,,,,Standard reading text,8
linear.app,Body Medium,Inter Variable,16,510,,1.5,,0,,,,"Navigation, labels",9
linear.app,Body Semibold,Inter Variable,16,590,,1.5,,0,,,,Strong emphasis,10
linear.app,Small,Inter Variable,15,400,,1.6,,-0.165,,,,Secondary body text,11
linear.app,Small Medium,Inter Variable,15,510,,1.6,,-0.165,,,,Emphasized small text,12
linear.app,Small Semibold,Inter Variable,15,590,,1.6,,-0.165,,,,Strong small text,13
linear.app,Small Light,Inter Variable,15,300,,1.47,,-0.165,,,,De-emphasized body,14
linear.app,Caption Large,Inter Variable,14,,510-590,1.5,,-0.182,,,,"Sub-labels, category headers",15
linear.app,Caption,Inter Variable,13,,400-510,1.5,,-0.13,,,,"Metadata, timestamps",16
linear.app,Label,Inter Variable,12,,400-590,1.4,,0,,,,"Button text, small labels",17
linear.app,Micro,Inter Variable,11,510,,1.4,,0,,,,Tiny labels,18
linear.app,Tiny,Inter Variable,10,,400-510,1.5,,-0.15,,,,"Overline text, sometimes uppercase",19
linear.app,Link Large,Inter Variable,16,400,,1.5,,0,,,,Standard links,20
linear.app,Link Medium,Inter Variable,15,510,,2.67,,0,,,,Spaced navigation links,21
linear.app,Link Small,Inter Variable,14,510,,1.5,,0,,,,Compact links,22
linear.app,Link Caption,Inter Variable,13,,400-510,1.5,,-0.13,,,,"Footer, metadata links",23
linear.app,Mono Body,Berkeley Mono,14,400,,1.5,,0,,,,Code blocks,24
linear.app,Mono Caption,Berkeley Mono,13,400,,1.5,,0,,,,Code labels,25
linear.app,Mono Label,Berkeley Mono,12,400,,1.4,,0,,,,"Code metadata, sometimes uppercase",26
lovable,Display Hero,Camera Plain Variable,60,600,,,1-1.1,-1.5,,,,"Maximum impact, editorial",0
lovable,Display Alt,Camera Plain Variable,60,480,,1,,0,,,,Lighter hero variant,1
