system,section_heading,item_label,hex,css_var,token_ref,description_first_keywords,description
airtable,Surface,Surface Dark Elevated,#1d1f25,,{colors.surface-dark-elevated},articles-page hero base,The articles-page hero base behind the rainbow-stripe overlay.
airtable,Surface,Hairline,#dddddd,,{colors.hairline},1px border tone,"The 1px border tone for input outlines, table dividers, secondary-button outlines."
airtable,Text,Ink,#181d26,,{colors.ink},strongest text h1,The strongest text — h1/h2 display type and primary button text-on-light. Same hex as `{colors.primary}` because they are the same role expressed at type and button layers.
airtable,Text,Body,#333840,,{colors.body},default running-text color,The default running-text color.
airtable,Text,Muted,#41454d,,{colors.muted},footer links breadcrumbs,"Footer links, breadcrumbs, captions."
airtable,Text,Border Strong,#9297a0,,{colors.border-strong},1px outline color,The 1px outline color on disabled secondary buttons.
airtable,Text,On Primary / On Dark,#ffffff,,{colors.on-primary},text color primary,The text color on primary buttons and dark surfaces.
airtable,Signature Card Surfaces,Coral,#aa2d00,,{colors.signature-coral},largest signature card,"The largest signature card on the homepage (""Production apps in prototype speed""). Full-bleed dark coral with white type."
airtable,Signature Card Surfaces,Forest,#0a2e0e,,{colors.signature-forest},deep-green signature card,A deep-green signature card used in the homepage demo-grid cluster.
airtable,Signature Card Surfaces,Cream,#f5e9d4,,{colors.signature-cream},cream callout band,"The cream callout band (""The path to 10× every person in your organization"") — a soft beige surface holding dark type and product UI fragments."
airtable,Signature Card Surfaces,Peach,#fcab79,,{colors.signature-peach},demo-card surfaces carry,Demo-card surfaces that carry small product UI fragments inside the multi-card grid sections.
airtable,Semantic,Link,#1b61c9,--theme,{colors.link},inline body links,"Inline body links and anchor text. Darker on press to `{colors.link-active}` (#1a3866). Despite the `--theme_button-background-primary` CSS-variable name, this color is **not** the primary button color — it is the link color."
airtable,Semantic,Info,#254fad,,{colors.info},inline info badges,Inline info badges and focused-input outline.
airtable,Semantic,Success,#006400,,{colors.success},confirmation states,Confirmation states.
apple,Brand & Accent,Action Blue,#0066cc,,{colors.primary},single brand-level interactive,"The single brand-level interactive color. All text links, all blue pill CTAs (""Learn more"", ""Buy""), and the focus ring root. This is Apple's quiet but universal ""click me"" signal. Press state shifts to a slightly darker variant via the active scale transform rather than a hex change."
apple,Brand & Accent,Focus Blue,#0071e3,,{colors.primary-focus},marginally brighter sibling,"A marginally brighter sibling of Action Blue, reserved for the keyboard focus ring on buttons (`outline: 2px solid`)."
apple,Brand & Accent,Sky Link Blue,#2997ff,,{colors.primary-on-dark},brighter blue used,"A brighter blue used on dark surfaces for in-copy links and inline callouts, where Action Blue would disappear against the tile background."
apple,Surface,Pure White,#ffffff,,{colors.canvas},dominant canvas,"The dominant canvas. Content, utility cards, store tiles, configurator grids."
apple,Surface,Parchment,#f5f5f7,,{colors.canvas-parchment},signature apple off-white,"The signature Apple off-white. Used for alternating light tiles, footer region, and the default page canvas in store utility sections. Just different enough from white to create rhythm."
apple,Surface,Pearl Button,#fafafc,,{colors.surface-pearl},near-white used fill,"A near-white used as the fill for secondary ""ghost"" buttons — lighter than the parchment canvas so the button still reads as a button against `{colors.canvas-parchment}`."
apple,Surface,Near-Black Tile 1,#272729,,{colors.surface-tile-1},primary dark-tile surface,The primary dark-tile surface on the homepage product grid.
apple,Surface,Near-Black Tile 2,#2a2a2c,,{colors.surface-tile-2},micro-step lighter used,A micro-step lighter — used where a dark tile sits directly above or below Tile 1 to create the faintest separation.
apple,Surface,Near-Black Tile 3,#252527,,{colors.surface-tile-3},micro-step darker used,A micro-step darker — used at the bottom of the stack and in embedded video/player frames.
apple,Surface,Pure Black,#000000,,{colors.surface-black},reserved true void,"Reserved for true void — video player backgrounds, edge-to-edge photographic overlays, the global nav bar background."
apple,Surface,Translucent Chip Gray,#d2d2d7,,{colors.surface-chip-translucent},base hex translucent,"The base hex of the translucent gray chip used over photography for circular control buttons. In production, applied at ~64% alpha as `rgba(210, 210, 215, 0.64)`."
apple,Text,Near-Black Ink,#1d1d1f,,{colors.ink},voice headline body,"The voice of every headline, every body paragraph, and the dark utility button's fill. Chosen instead of pure black to keep the page feeling photographic rather than printed."
apple,Text,Body,#1d1d1f,,{colors.body},same hex ink,Same hex as ink — Apple uses one near-black tone for all text on light surfaces.
apple,Text,Body On Dark,#ffffff,,{colors.body-on-dark},text dark tiles,All text on dark tiles and on the global nav bar.
apple,Text,Body Muted,#cccccc,,{colors.body-muted},secondary copy dark,Secondary copy on dark tiles where pure white would be too loud.
apple,Text,Ink Muted 80,#333333,,{colors.ink-muted-80},body text white,Body text on the white Pearl Button surface — slightly softer than pure black.
apple,Text,Ink Muted 48,#7a7a7a,,{colors.ink-muted-48},disabled button text,Disabled button text and legal fine-print.
apple,Hairlines & Borders,Divider Soft,#f0f0f0,,{colors.divider-soft},border tone secondary,"The ""border"" tone on secondary buttons — functions as a ring shadow rather than a hard line. In production, often applied as `rgba(0, 0, 0, 0.04)`."
apple,Hairlines & Borders,Hairline,#e0e0e0,,{colors.hairline},1px hairline border,The 1px hairline border on store utility cards and configurator chips.
bmw,Brand & Accent,BMW Blue (Primary),#1c69d4,,{colors.primary},single brand action,"The single brand action color. All primary CTAs, ""Learn More"" link prefixes (blue text), nav-link active state. Press shifts to `{colors.primary-active}` (#0653b6)."
bmw,Brand & Accent,M Blue Light,#0066b1,,{colors.m-blue-light},m tricolor stripe,"The M tricolor stripe — appears on the corporate site only on M-model pages and the ""M"" badge. Never as CTA colors."
bmw,Surface,Canvas,#ffffff,,{colors.canvas},default page surface,The default page surface.
bmw,Surface,Surface Soft,#f7f7f7,,{colors.surface-soft},soft grey footer,Soft grey for the footer and sub-navigation bands.
bmw,Surface,Surface Card,#fafafa,,{colors.surface-card},light plate behind,The light plate behind a model card's photo block.
bmw,Surface,Surface Strong,#ebebeb,,{colors.surface-strong},slightly heavier grey,A slightly heavier grey used as a section divider.
bmw,Surface,Surface Dark,#1a2129,,{colors.surface-dark},dark navy hero,Dark navy for hero bands and large dark CTAs. Not pure black — carries a warm undertone.
bmw,Surface,Surface Dark Elevated,#262e38,,{colors.surface-dark-elevated},one step lighter,"One step lighter, used for nested cards on top of the dark hero."
bmw,Hairlines,Hairline,#e6e6e6,,{colors.hairline},1px divider input,"The 1px divider — input outline, configurator card outline, table separator."
bmw,Hairlines,Hairline Strong,#cccccc,,{colors.hairline-strong},more visible 1px,"A more visible 1px outline — disabled secondary buttons, emphasized table border."
bmw,Text,Ink,#262626,,{colors.ink},display primary text,All display and primary text. Not pure black — soft against photography.
bmw,Text,Body,#3c3c3c,,{colors.body},default running text,Default running text.
bmw,Text,Body Strong,#1a1a1a,,{colors.body-strong},emphasized paragraphs lead,Emphasized paragraphs and lead text.
bmw,Text,Muted,#6b6b6b,,{colors.muted},footer links breadcrumbs,"Footer links, breadcrumbs, captions."
bmw,Text,Muted Soft,#9a9a9a,,{colors.muted-soft},disabled text fine-print,"Disabled text, fine-print legal."
bmw,Text,On Primary,#ffffff,,{colors.on-primary},white text blue,White text on a blue button.
bmw,Text,On Dark,#ffffff,,{colors.on-dark},white text dark,White text on a dark hero band.
bmw,Text,On Dark Soft,#bbbbbb,,{colors.on-dark-soft},slightly muted white,A slightly muted white for secondary text on dark bands.
bmw,Semantic,Success,#22c55e,,{colors.success},confirmation messages available,"Confirmation messages and ""available"" indicators."
bmw,Semantic,Warning,#f59e0b,,{colors.warning},warning callouts,Warning callouts.
bmw,Semantic,Error,#dc2626,,{colors.error},validation errors,Validation errors.
cal,Brand & Accent,Primary,#111111,,{colors.primary},dominant action color,"The dominant action color. All primary CTAs, h1/h2 display type. Press state shifts to `{colors.primary-active}` (#242424)."
cal,Brand & Accent,Brand Accent,#3b82f6,,{colors.brand-accent},used sparely inline,"Used sparely on inline links and on a small badge / ""Customer story"" highlight. Cal.com is a near-monochrome brand — the blue appears rarely."
cal,Brand & Accent,Badge Pastels,#fb923c,,{colors.badge-orange},fb923c ec4899 8b5cf6,"`{colors.badge-orange}` (#fb923c), `{colors.badge-pink}` (#ec4899), `{colors.badge-violet}` (#8b5cf6), `{colors.badge-emerald}` (#34d399). These appear on tag pills and small accent moments inside product UI fragments — never on hero CTAs."
cal,Surface,Canvas,#ffffff,,{colors.canvas},default page floor,The default page floor.
cal,Surface,Surface Soft,#f8f9fa,,{colors.surface-soft},nav-pill-group background very-soft,"Nav-pill-group background, very-soft section dividers."
cal,Surface,Surface Card,#f5f5f5,,{colors.surface-card},feature cards testimonial,"Feature cards, testimonial cards, badge pills, default avatar fills."
cal,Surface,Surface Strong,#e5e7eb,,{colors.surface-strong},hairline border alternative,Hairline border alternative; disabled button background.
cal,Surface,Surface Dark,#101010,,{colors.surface-dark},footer background only,The footer background — the only dark surface on every page. Also used for the featured pricing tier card.
cal,Surface,Surface Dark Elevated,#1a1a1a,,{colors.surface-dark-elevated},used nested cards,Used for nested cards inside the dark footer or featured pricing card.
cal,Surface,Hairline,#e5e7eb,,{colors.hairline},1px border tone,"The 1px border tone on light surfaces. Used on input borders, table dividers, content card outlines (sometimes)."
cal,Surface,Hairline Soft,#f3f4f6,,{colors.hairline-soft},barely-visible divider used,A barely-visible divider used between sections that share the white canvas.
cal,Text,Ink,#111111,,{colors.ink},headlines primary text,All headlines and primary text.
cal,Text,Body,#374151,,{colors.body},default running-text color,Default running-text color.
cal,Text,Muted,#6b7280,,{colors.muted},secondary text sub-headings,"Secondary text — sub-headings, breadcrumbs, footer body."
cal,Text,Muted Soft,#898989,,{colors.muted-soft},tertiary text captions,"Tertiary text — captions, fine-print, copyright lines."
cal,Text,On Primary / On Dark,#ffffff,,{colors.on-primary},text primary buttons,Text on primary buttons and dark footer.
cal,Text,On Dark Soft,#a1a1aa,,{colors.on-dark-soft},footer body text,Footer body text — slightly muted white for the link rows.
cal,Semantic,Success,#10b981,,{colors.success},confirmation states success,"Confirmation states, success badges in product UI."
cal,Semantic,Warning,#f59e0b,,{colors.warning},warning callouts,Warning callouts.
cal,Semantic,Error,#ef4444,,{colors.error},validation errors,Validation errors.
claude,Brand & Accent,Coral / Primary,#cc785c,,{colors.primary},signature anthropic warm,"The signature Anthropic warm coral. Used on every primary CTA background, on full-bleed coral callout cards, on the brand wordmark accent. The most-recognized Anthropic color outside of the spike-mark logo."
claude,Brand & Accent,Coral Active,#a9583e,,{colors.primary-active},press hover-darker variant,The press / hover-darker variant.
claude,Brand & Accent,Coral Disabled,#e6dfd8,,{colors.primary-disabled},desaturated cream-tinted disabled,A desaturated cream-tinted disabled state.
claude,Brand & Accent,Accent Teal,#5db8a6,,{colors.accent-teal},used sparingly secondary,"Used sparingly on secondary product surfaces (terminal status indicators, ""active connection"" dots in connectors page)."
claude,Brand & Accent,Accent Amber,#e8a55a,,{colors.accent-amber},small companion warm-tone,A small companion warm-tone used on category badges and inline highlights.
claude,Surface,Canvas,#faf9f5,,{colors.canvas},default page floor,"The default page floor. Tinted cream — warm, deliberately not pure white."
claude,Surface,Surface Soft,#f5f0e8,,{colors.surface-soft},section dividers very-soft,"Section dividers, very-soft band backgrounds."
claude,Surface,Surface Card,#efe9de,,{colors.surface-card},feature cards content,"Feature cards, content cards. One step darker than canvas."
claude,Surface,Surface Cream Strong,#e8e0d2,,{colors.surface-cream-strong},strongest-cream variant used,A strongest-cream variant used on selected category tabs and emphasized section bands.
claude,Surface,Surface Dark,#181715,,{colors.surface-dark},code editor mockups,"Code editor mockups, model showcase cards, footer. The dominant dark surface."
claude,Surface,Surface Dark Elevated,#252320,,{colors.surface-dark-elevated},elevated cards inside,Elevated cards inside dark bands (settings panels in mockups).
claude,Surface,Surface Dark Soft,#1f1e1b,,{colors.surface-dark-soft},slightly lighter dark,"Slightly lighter dark, used for code block backgrounds inside larger dark cards."
claude,Surface,Hairline,#e6dfd8,,{colors.hairline},1px border tone,The 1px border tone on cream surfaces. Same hex as `{colors.primary-disabled}` — borders feel like one elevation step rather than ink lines.
claude,Surface,Hairline Soft,#ebe6df,,{colors.hairline-soft},barely-visible divider used,Barely-visible divider used inside the same band.
claude,Text,Ink,#141413,,{colors.ink},headlines primary text,"All headlines and primary text. Warm dark, slightly off-pure-black."
claude,Text,Body Strong,#252523,,{colors.body-strong},emphasized paragraphs lead,"Emphasized paragraphs, lead text."
claude,Text,Body,#3d3d3a,,{colors.body},default running-text color,Default running-text color.
claude,Text,Muted,#6c6a64,,{colors.muted},sub-headings breadcrumbs footer-adjacent,"Sub-headings, breadcrumbs, footer-adjacent secondary text."
claude,Text,Muted Soft,#8e8b82,,{colors.muted-soft},captions fine-print copyright,"Captions, fine-print, copyright lines."
claude,Text,On Primary,#ffffff,,{colors.on-primary},text coral buttons,Text on coral buttons.
claude,Text,On Dark,#faf9f5,,{colors.on-dark},cream-tinted white used,Cream-tinted white used on dark surfaces (echoes the canvas tone).
claude,Text,On Dark Soft,#a09d96,,{colors.on-dark-soft},footer body text,"Footer body text, secondary labels in dark mockups."
claude,Semantic,Success,#5db872,,{colors.success},green status dots,"Green status dots, ""available"" indicators."
claude,Semantic,Warning,#d4a017,,{colors.warning},warning callouts rare,Warning callouts (rare on marketing surfaces).
claude,Semantic,Error,#c64545,,{colors.error},validation errors,Validation errors.
clay,Brand & Accent,Primary,#0a0a0a,,{colors.primary},primary ctas h1,"All primary CTAs, h1/h2 ink type. Near-black with slight warmth."
clay,Brand & Accent,Brand Pink,#ff4d8b,,{colors.brand-pink},hot-pink feature card,Hot-pink feature card surface. Sequencer / outbound feature pages.
clay,Brand & Accent,Brand Teal,#1a3a3a,,{colors.brand-teal},deep teal-green feature,Deep teal-green feature card. Often the featured pricing tier.
clay,Brand & Accent,Brand Lavender,#b8a4ed,,{colors.brand-lavender},soft lavender feature,Soft lavender feature card.
clay,Brand & Accent,Brand Peach,#ffb084,,{colors.brand-peach},warm peach feature,Warm peach feature card.
clay,Brand & Accent,Brand Ochre,#e8b94a,,{colors.brand-ochre},mustard ochre feature,Mustard / ochre feature card and illustration accents.
clay,Brand & Accent,Brand Mint,#a4d4c5,,{colors.brand-mint},mint accent illustrations,Mint accent on illustrations and small badges.
clay,Brand & Accent,Brand Coral,#ff6b5a,,{colors.brand-coral},coral accent highlights,Coral accent for highlights.
clay,Surface,Canvas,#fffaf0,,{colors.canvas},default page floor,The default page floor. Cream-tinted white.
clay,Surface,Surface Soft,#faf5e8,,{colors.surface-soft},footer cta-band background,Footer and CTA-band background.
clay,Surface,Surface Card,#f5f0e0,,{colors.surface-card},cream feature cards,"Cream feature cards, testimonial cards."
clay,Surface,Surface Strong,#ebe6d6,,{colors.surface-strong},stronger cream emphasized,Stronger cream for emphasized bands.
clay,Surface,Surface Dark,#0a1a1a,,{colors.surface-dark},dark teal-tinted near-black,Dark teal-tinted near-black for occasional dark cards (rare).
clay,Surface,Surface Dark Elevated,#1a2a2a,,{colors.surface-dark-elevated},elevated dark cards,Elevated dark cards.
clay,Surface,Hairline,#e5e5e5,,{colors.hairline},px borders cards,1px borders on cards and inputs.
clay,Text,Ink,#0a0a0a,,{colors.ink},headlines primary text,Headlines and primary text.
clay,Text,Body Strong,#1a1a1a,,{colors.body-strong},emphasized body lead,"Emphasized body, lead paragraphs."
clay,Text,Body,#3a3a3a,,{colors.body},default running-text,Default running-text.
clay,Text,Muted,#6a6a6a,,{colors.muted},sub-headings breadcrumbs footer,"Sub-headings, breadcrumbs, footer body."
clay,Text,Muted Soft,#9a9a9a,,{colors.muted-soft},captions fine-print,"Captions, fine-print."
clay,Text,On Primary / On Dark,#ffffff,,{colors.on-primary},text primary buttons,Text on primary buttons + dark feature cards (teal).
clay,Semantic,Success,#22c55e,,{colors.success},success states,Success states.
clay,Semantic,Warning,#f59e0b,,{colors.warning},warning callouts,Warning callouts.
clay,Semantic,Error,#ef4444,,{colors.error},validation errors,Validation errors.
clickhouse,Brand & Accent,Primary (Electric Yellow),#faff69,,{colors.primary},signature brand color,"The signature brand color. All primary CTA backgrounds, large stat-callout numbers, full-bleed yellow CTA cards. The yellow is the brand."
clickhouse,Brand & Accent,Primary Active,#e6eb52,,{colors.primary-active},press hover-darker variant,Press / hover-darker variant.
clickhouse,Brand & Accent,Primary Disabled,#3a3a1f,,{colors.primary-disabled},desaturated dark-yellow dark,Desaturated dark-yellow on dark canvas.
clickhouse,Surface,Canvas,#0a0a0a,,{colors.canvas},default page floor,The default page floor. Near-pure black.
clickhouse,Surface,Surface Soft,#121212,,{colors.surface-soft},section dividers very-soft,"Section dividers, very-soft band tints."
clickhouse,Surface,Surface Card,#1a1a1a,,{colors.surface-card},feature cards code,"Feature cards, code windows, product mockups, pricing tier cards."
clickhouse,Surface,Surface Elevated,#242424,,{colors.surface-elevated},nested cards inside,Nested cards inside larger dark cards.
clickhouse,Surface,Surface Yellow Band,#faff69,,{colors.surface-yellow-band},yellow cta card,The yellow CTA card / band fill — same hex as primary.
clickhouse,Surface,Hairline,#2a2a2a,,{colors.hairline},px borders cards,1px borders on cards.
clickhouse,Surface,Hairline Strong,#3a3a3a,,{colors.hairline-strong},heavier divider input,Heavier divider on input underlines and emphasis.
clickhouse,Text,Ink / On Dark,#ffffff,,{colors.on-dark},headline primary text,All headline and primary text.
clickhouse,Text,Body,#cccccc,,{colors.body},default running-text color,Default running-text color.
clickhouse,Text,Body Strong,#e6e6e6,,{colors.body-strong},emphasized paragraphs,Emphasized paragraphs.
clickhouse,Text,Muted,#888888,,{colors.muted},footer links captions,"Footer links, captions, breadcrumbs."
clickhouse,Text,Muted Soft,#5a5a5a,,{colors.muted-soft},tertiary text fine,Tertiary text — fine print.
clickhouse,Text,On Primary / On Yellow,#0a0a0a,,{colors.on-primary},black text yellow,Black text on yellow CTAs and yellow CTA bands. The high-contrast yellow + black combo is the brand action signal.
clickhouse,Semantic / Accent,Accent Emerald,#22c55e,,{colors.accent-emerald},success states active,"Success states, ""active"" status indicators in product UI."
clickhouse,Semantic / Accent,Accent Rose,#ef4444,,{colors.accent-rose},error states down,"Error states, ""down"" indicators."
clickhouse,Semantic / Accent,Accent Blue,#3b82f6,,{colors.accent-blue},info states code-syntax,"Info states, code-syntax highlighting."
cohere,Brand & Accent,Cohere Black,#000000,,,announcement bar highest-contrast,"Announcement bar, highest-contrast text, and the global brand anchor."
cohere,Brand & Accent,Near-Black Primary,#17171c,,,primary cta buttons,"Primary CTA buttons, dark footer, and deep UI cards."
cohere,Brand & Accent,Deep Enterprise Green,#003c33,,,product hero bands,Product hero bands for North and Command-style dark sections.
cohere,Brand & Accent,Dark Navy,#071829,,,financial-services security-oriented solution,Financial-services and security-oriented solution bands.
cohere,Brand & Accent,Action Blue,#1863dc,,,editorial links pagination,"Editorial links, pagination, and secondary action emphasis."
cohere,Brand & Accent,Coral,#ff7759,,,blog category chips,"Blog category chips, taxonomy outlines, and warm product markers."
cohere,Brand & Accent,Soft Coral,#ffad9b,,,pale chip borders,Pale chip borders and segmented article-label details.
cohere,Surface & Background,Canvas White,#ffffff,,,dominant page background,Dominant page background and form/card surface.
cohere,Surface & Background,Soft Stone,#eeece7,,,product cards testimonial,"Product cards, testimonial placeholders, and warm neutral surface blocks."
cohere,Surface & Background,Pale Green Wash,#edfce9,,,north page section,North page section backdrop behind stacked dark capability panels.
cohere,Surface & Background,Pale Blue Wash,#f1f5ff,,,blog cta surface,Blog CTA surface behind abstract 3D imagery.
cohere,Surface & Background,Card Border,#f2f2f2,,,softest card containment,Softest card containment line.
cohere,Text & Rules,Ink,#212121,,,default body text,Default body text and most link text on light backgrounds.
cohere,Text & Rules,Muted Slate,#93939f,,,footer links dates,"Footer links, dates, metadata, and de-emphasized labels."
cohere,Text & Rules,Slate,#75758a,,,research separators tertiary,Research separators and tertiary text.
cohere,Text & Rules,Hairline,#d9d9dd,,,standard list rules,Standard list rules and section dividers.
cohere,Text & Rules,Border Light,#e5e7eb,,,secondary divider utility,Secondary divider and utility rule.
cohere,Semantic,Focus Blue,#4c6ee6,,,keyboard focus ring,Keyboard focus and ring color.
cohere,Semantic,Form Focus Violet,#9b60aa,,,focus border text,Focus border for text inputs.
cohere,Semantic,Error Red,#b30000,,,extracted ring shadow,Extracted ring/shadow color associated with validation-like states.
coinbase,Brand & Accent,Coinbase Blue,#0052ff,,{colors.primary},single brand color,"The single brand color. Every primary CTA pill, the Coinbase wordmark, and inline brand links."
coinbase,Brand & Accent,Coinbase Blue Active,#003ecc,,{colors.primary-active},press-state darken primary,Press-state darken on the primary pill.
coinbase,Brand & Accent,Coinbase Blue Disabled,#a8b8cc,,{colors.primary-disabled},faded-blue tint disabled,Faded-blue tint for disabled CTAs.
coinbase,Brand & Accent,Accent Yellow,#f4b000,,{colors.accent-yellow},small sub-brand accent,"A small sub-brand accent used very sparingly on Bitcoin/asset glyph fills inside feature cards. Illustrative-only, not an action color."
coinbase,Surface,Canvas,#ffffff,,{colors.canvas},default page floor,The default page floor.
coinbase,Surface,Surface Soft,#f7f7f7,,{colors.surface-soft},subtle alternating band,Subtle alternating band surface.
coinbase,Surface,Surface Strong,#eef0f3,,{colors.surface-strong},light-gray fill behind,"The light-gray fill behind secondary buttons, search pills, asset-icon plates."
coinbase,Surface,Surface Dark,#0a0b0d,,{colors.surface-dark},deep near-black canvas,"Deep near-black canvas for full-bleed dark heroes, CTA bands. Same hex as `{colors.ink}` — page-floor and text-color share the value."
coinbase,Surface,Surface Dark Elevated,#16181c,,{colors.surface-dark-elevated},one step lighter,"One step lighter, used for floating product-UI mockup cards inside dark heroes."
coinbase,Hairlines,Hairline,#dee1e6,,{colors.hairline},default 1px divider,Default 1px divider on white surfaces.
coinbase,Hairlines,Hairline Soft,#eef0f3,,{colors.hairline-soft},lighter divider same,Lighter divider — same hex as `{colors.surface-strong}`.
coinbase,Text,Ink,#0a0b0d,,{colors.ink},display headings primary,"Display headings, primary nav, body emphasis."
coinbase,Text,Body,#5b616e,,{colors.body},default running-text slightly,Default running-text — slightly cool gray.
coinbase,Text,Body Strong,#0a0b0d,,{colors.body-strong},same ink used,"Same as ink, used for stronger emphasis."
coinbase,Text,Muted,#7c828a,,{colors.muted},sub-titles breadcrumbs footer,"Sub-titles, breadcrumbs, footer secondary."
coinbase,Text,Muted Soft,#a8acb3,,{colors.muted-soft},disabled link text,Disabled link text.
coinbase,Text,On Primary,#ffffff,,{colors.on-primary},white text coinbase,White text on Coinbase Blue CTAs.
coinbase,Text,On Dark,#ffffff,,{colors.on-dark},white text dark,White text on dark heroes.
coinbase,Text,On Dark Soft,#a8acb3,,{colors.on-dark-soft},muted off-white secondary,Muted off-white for secondary text on dark.
coinbase,Trading Semantics,Semantic Up,#05b169,,{colors.semantic-up},price up green,"""Price up"" green, text color only."
coinbase,Trading Semantics,Semantic Down,#cf202f,,{colors.semantic-down},price down red,"""Price down"" red, text color only."
composio,Brand & Accent,Composio Blue,#0007cd,,{colors.primary},primary ctas wordmark,"Primary CTAs, wordmark, spotlight glow center."
composio,Brand & Accent,Composio Blue Active,#0005a3,,{colors.primary-active},press state,Press state.
composio,Brand & Accent,Spotlight Glow Tone,#1a26ff,,{colors.primary-glow},brighter blue used,Brighter blue used inside radial atmospheric glows.
composio,Brand & Accent,Accent Cyan,#00d4ff,,{colors.accent-cyan},sparingly data-flow visualizations,Sparingly on data-flow visualizations.
composio,Brand & Accent,Accent Violet,#7b3aed,,{colors.accent-violet},inside specific product,Inside specific product illustrations only.
composio,Surface,Canvas,#0f0f0f,,{colors.canvas},page floor near-black,Page floor — near-black.
composio,Surface,Canvas Deep,#000000,,{colors.canvas-deep},pure black terminal,Pure black for terminal mockup grids and code blocks.
composio,Surface,Surface Card,#181818,,{colors.surface-card},default content card,Default content card.
composio,Surface,Surface Card Elevated,#222222,,{colors.surface-card-elevated},terminal panes secondary,"Terminal panes, secondary buttons."
